,rank,rmse,mae,r2,mape,training_time_sec
random_forest,1,9.42136221014596,6.56846778684422,0.801970718306799,12.564698750726597,4.709385
lightgbm,2,10.272424158377824,7.520734661309532,0.764577537776203,13.801326206126149,13.152559
xgboost,3,10.644149577446326,7.548546314239502,0.7472308874130249,13.48190972599783,6.155216
